of_ratio,pressure_bar,temperature_k,gamma,molecular_weight_kg_per_kmol,gas_constant_j_kg_k,density_kg_m3,cp_mass_j_kg_k,cv_mass_j_kg_k,sound_speed_m_per_s,viscosity_pa_s,thermal_conductivity_w_m_k,prandtl_number,cstar_m_per_s,nozzle_area_ratio,exit_mach,exit_pressure_bar,exit_temperature_k,exit_velocity_m_per_s,cf_sea_level,cf_vacuum,isp_sea_level_s,isp_vacuum_s,cf_ideal_1atm,isp_ideal_1atm_s,x_N2,x_CO2,x_H2O,x_CO,x_H2,x_O2,x_NO,x_OH
3.0,10.0,2382.322850159379,1.2943179780013176,19.24482052007504,432.036381398314,0.9715811130575147,1899.9602382154455,1467.9238568171315,1154.1997074161145,7.019346029065013e-05,0.2858728293906238,0.4665178702686608,1522.7691905830359,15.0,3.9215032289860092,0.05511260732484685,730.0933849649607,2505.6617043317583,0.20825779338457173,1.7281327933845716,32.3381125526896,268.34315235092765,1.2587162796241784,195.45251133638914,0.3212970915105128,9.541813117022975e-06,5.683203718734457e-05,0.327860758338573,0.33379890584664185,3.13931938950793e-14,4.5857488480876435e-09,8.21633692623439e-08
3.25,10.0,2526.987549658082,1.2935442323279418,19.58894866398045,424.4465979658018,0.9323389777038222,1870.3840452790866,1445.9374473132848,1177.887251904482,7.361331209072635e-05,0.29320524644167034,0.46958629194254703,1554.8133031251612,15.0,3.9183494532747316,0.05524296983651921,776.7076944859667,2558.787023527872,0.2087092452818684,1.7285842452818683,33.09018992718832,274.06155824229637,1.2587551395151007,199.5716413143374,0.34030674122303817,0.0016709458764000765,0.010118691892624567,0.32684755480974725,0.31587049623466656,4.7624344777316124e-09,2.393166481712532e-06,3.45932709799427e-05
3.5,10.0,2657.1204358668706,1.2870475084333324,20.17596259694404,412.097444084903,0.9132482307142175,1847.7393917683262,1435.641947683423,1187.1425443801365,7.653606976545665e-05,0.29462418124773365,0.47999695883024496,1573.773442980654,15.0,3.8919949071830393,0.056350281606418584,837.1404135569683,2593.3949870597817,0.21253373028144673,1.7324087302814468,34.10746181974009,278.01735068599123,1.259090313210057,202.0591024706889,0.35651629858515943,0.005260222212284957,0.03141712586386347,0.31435371712285765,0.28399243503258514,1.837193625344908e-07,1.8818400673380557e-05,0.0002217242281511956
3.75,10.0,2770.469689145284,1.281517628798124,20.72232273900867,401.2321747359772,0.8996028967746413,1826.4792416743687,1425.2470669383915,1193.5397014510058,7.910226730988658e-05,0.2946601952082901,0.49032292640936936,1588.077635105143,15.0,3.869738886242886,0.05731098517234963,891.443621260796,2619.9244674440642,0.2158373148193211,1.7357123148193212,34.95244680759604,281.07925827281906,1.2593883172310079,203.94389730512097,0.3716594235173969,0.008838571234956119,0.051120012740659984,0.3021612768104746,0.25364032340743725,1.54991884413006e-06,6.606866628698437e-05,0.0006507556565849828
4.0,10.0,2869.0387200178307,1.2767845886144293,21.230301252880654,391.6318717816161,0.8899908921186208,1806.565679122938,1414.933807341322,1197.7496009342597,8.13559348163718e-05,0.2936813896587508,0.5004567698450374,1598.720566897755,15.0,3.8508178288722146,0.05814678778677101,939.9930646404424,2640.055936705132,0.21870064139507206,1.738575641395072,35.65348140211308,283.42977826329655,1.2596528549917019,205.35380853061025,0.385798218739281,0.012498835376812335,0.06901137808529534,0.2901965608606386,0.22512452224036686,7.601200104287491e-06,0.00017075610916987877,0.001432598364104824
4.25,10.0,2954.4377472953956,1.2727123435616494,21.702616730911107,383.10876154905895,0.8834929174614833,1787.917786859838,1404.8090253107791,1200.2275516591237,8.333190072740678e-05,0.29193234865978474,0.5103599796574826,1606.404054241697,15.0,3.8346322601707437,0.05887605484120424,983.1620776011634,2654.987319235388,0.22119096135780092,1.7410659613578008,36.23276624400687,285.1998816137406,1.2598875777826002,206.3791929801431,0.3989819145194596,0.016294641603273288,0.08493461348074204,0.27840159509324436,0.1987009611359257,2.7214557481545377e-05,0.0003668732784748246,0.002659786852047254
4.5,10.0,3027.873640767448,1.26920134933411,22.141611086851015,375.5129916038881,0.879502920465575,1770.427959648246,1394.914968044358,1201.2865638865624,8.505626095288652e-05,0.2895781341578148,0.5200184847246134,1611.619767544619,15.0,3.8207467644683506,0.059512456884533105,1021.2345879465875,2665.5618109644815,0.22335814061863024,1.74323314061863,36.70656081974938,286.48202891505997,1.2600953158292265,207.08340972511118,0.4112492993005015,0.02024454492427116,0.09877659504068768,0.266747316875782,0.1745803190822945,7.84169838469324e-05,0.0006916434260927984,0.004384067582420065
4.75,10.0,3090.258127249845,1.2661785180868528,22.549190473352883,368.7255481733907,0.8776109084941457,1753.9821452255896,1385.256597052199,1201.1478385762043,8.654858438354951e-05,0.28673662669687117,0.5294219767179559,1614.720015886586,15.0,3.808843075360463,0.06006611446969713,1054.4207059188636,2672.3856336975937,0.22523903954854219,1.7451140395485423,37.08687324602198,287.34283059594526,1.2602782027196844,207.51188627278907,0.42263183520006187,0.024334850321006334,0.11048525673776541,0.255232884974846,0.15290622239153975,0.00019157662692689657,0.00117873885941692,0.006598902722931137
5.0,10.0,3142.3744381774977,1.2635872639450187,22.926965755064607,362.64993401128805,0.8775148282280529,1738.4748831519735,1375.8249491406855,1199.9838136955132,8.782516640858355e-05,0.28350412263789737,0.5385524714396347,1615.9818822383363,15.0,3.79867646153639,0.060544996749069206,1082.914731334309,2675.936835282332,0.2268625674302478,1.7467375674302477,37.383387673196594,287.8349142665788,1.260437982018717,207.70038113191526,0.4331602992537565,0.02852352904883511,0.12008892547204837,0.24388455649414728,0.1337322264846472,0.0004096296118067137,0.001850285145540957,0.009233558592137531
5.25,10.0,3185.0350841456093,1.2613793284598884,23.276474710980036,357.2045475697023,0.8789593698723729,1723.8181572780124,1366.6136097083102,1197.9493457027875,8.890218739873524e-05,0.27997175190673873,0.5473809547426118,1615.6555443989919,15.0,3.7900410365009067,0.06095617829318652,1106.960400049865,2676.648229642444,0.22825412354422925,1.7481291235442291,37.60509860514716,288.0060480163546,1.2605763345086478,207.6812310000923,0.44287208590268234,0.032748419866582376,0.12770425772794528,0.23275034785321957,0.1170082330489221,0.0007835052003983379,0.002710709558644427,0.01216422078047781
5.5,10.0,3219.1696992577567,1.259509624482278,23.599371091222604,352.3171268426584,0.8817031109987798,1709.9435638024884,1357.6264369598298,1195.1971769317215,8.9797655889942e-05,0.2762312534808336,0.5558709298772776,1613.9892213143592,15.0,3.7827480234751993,0.06130664722887612,1126.8898594247612,2674.9506334869543,0.22943843898394856,1.7493134389839484,37.76123013213332,287.9039259298993,1.2606950954076808,207.48658260995086,0.45181560018546807,0.036939196324044854,0.13352462504699492,0.22188985849556983,0.10258606685364842,0.0013634937162460058,0.003745445000524851,0.015240017093355252
5.75,10.0,3245.821100075008,1.2579344062621107,23.897501197136233,347.9218412655465,0.8855105256877895,1696.7990473254124,1348.877206059866,1191.8789069730678,9.053164995629514e-05,0.27237213965564216,0.5639857938218359,1611.2313838839236,15.0,3.7766175767852674,0.061603546287229353,1143.120711102787,2671.2768545468443,0.2304404627323282,1.750315462732328,37.86133956764654,287.57661436388975,1.2607962995931845,207.1486763154856,0.4600498903659552,0.04102941659939232,0.13779168416048423,0.21136241132633138,0.09024483994099486,0.0021900738169330965,0.004925023952180966,0.018313356136128393
6.0,10.0,3266.07725905644,1.2566118129190864,24.1728636865632,343.95852828868357,0.890158747974525,1684.3431519581281,1340.3846236694446,1188.1378655457765,9.112527005453276e-05,0.26847523616538316,0.5716960222436994,1607.6196000142768,15.0,3.771480086245054,0.061853988058961785,1156.120785307592,2666.042286794638,0.23128479680988678,1.7511597968098869,37.91488148724524,287.07038714633364,1.2608820892325483,206.6983893538767,0.4676405149201488,0.04496485423498633,0.14076172015230595,0.201217676121849,0.07972624573586058,0.003287981718917029,0.00621218294888997,0.021262746215677742
6.25,10.0,3280.988324873172,1.2555032724721804,24.42750626598974,340.3729602038589,0.8954477783900988,1672.5396949407661,1332.1667347369073,1184.1011226353212,9.159917445728342e-05,0.26460732196406817,0.5789834316240682,1603.367392494268,15.0,3.767180935497617,0.062064715335846794,1166.3634574470793,2659.62178915687,0.23199460486837697,1.7518696048683768,37.930647538205974,286.427128565593,1.2609545710554642,206.16351584352736,0.47465422211817376,0.0487067786487759,0.1426782643222656,0.19149093562254516,0.07076719295048656,0.004664976858349301,0.007568742734962038,0.024002743513081074
6.5,10.0,3291.5044181144117,1.2545746390288173,24.66341936821817,337.1171893897016,0.9012072153077311,1661.3543195130244,1324.2371301233227,1179.874790504287,9.197239009612463e-05,0.26081898286657007,0.5858420498491953,1598.6560011299282,15.0,3.7635843179575126,0.06224181959552342,1174.291806787814,2652.334940068803,0.23259071227023687,1.7524657122702367,37.91636674887945,285.6826569414885,1.2610156961570524,205.5676821524686,0.4811545774353218,0.05223128777752281,0.14375602886460412,0.18220255947505856,0.06312230148685496,0.006314253402927908,0.008960296920446281,0.026483009113006252
6.75,10.0,3298.4449693816196,1.2537966533540406,24.88246026699247,334.1495386283281,0.9072978701625258,1650.7529461689203,1316.6034075405921,1175.5432373959852,9.226165629883706e-05,0.2571453858375069,0.5922766238161102,1593.6323602937462,15.0,3.7605745387121976,0.062390598836965,1180.298212069976,2644.4420961897954,0.23309116818317333,1.7529661681831736,37.87854450963143,284.8662501584981,1.261067191507071,204.93007141994661,0.48719935515181984,0.05552663219534136,0.14417509729976796,0.17335999647200395,0.056575374972300266,0.008218498932874395,0.010358431631306156,0.028681553679557516
7.0,10.0,3302.493909400847,1.2531448083322905,25.08631365182148,331.43421283619085,0.9136095644737923,1640.7014856657947,1309.267272829604,1171.1710021650733,9.248124255781022e-05,0.25360870958865595,0.5983000832539431,1588.4115471149748,15.0,3.7580551251528673,0.06251554098400804,1184.7174662310892,2636.1483101740105,0.23351122159495152,1.7533862215949516,37.82248991881475,284.0010524423445,1.2611105390807138,204.2657321780829,0.49283951721558544,0.0585900691175895,0.14408175657807193,0.16496068939257635,0.05094265085276049,0.01035399994400543,0.011741136407822143,0.03059653056302031
7.25,10.0,3304.2102619475186,1.2525988617774353,25.27648068789033,328.94067496257907,0.9200570237720663,1631.1661586720372,1302.225483709458,1166.805946551181,9.264307029282538e-05,0.2502210750364361,0.6039309081983867,1583.0814144338842,15.0,3.7559466742002847,0.06262038591766349,1187.8285703296176,2627.611156240663,0.23386355355372124,1.753738553553721,37.752448098418874,283.10492470997326,1.2611469861853593,203.58617414706845,0.4981192436062782,0.06142505968131149,0.14359255806312224,0.15699493448690766,0.04607126436456354,0.012693988096901834,0.013092219138762334,0.03223896685514578
7.5,10.0,3304.045398477551,1.2521422122151777,25.454285668614933,326.6429365332751,0.9265753081677669,1622.1139870312315,1295.4710504979566,1162.4826157758196,9.275698267333137e-05,0.24698728075785864,0.6091908803058353,1577.7077377163064,15.0,3.754184250315191,0.06270822291087363,1189.8608312213835,2618.949544268389,0.23415862160817613,1.7540336216081762,37.67177060099057,282.19141266648404,1.2611775713236937,202.90003343768265,0.5030765129484663,0.06403907374360529,0.14279936129681906,0.14944827090396245,0.04183554446895752,0.015211027997608734,0.014400328863871974,0.03362723755434954
7.75,10.0,3302.361534878947,1.2517612731088144,25.6208914681641,324.51886494599887,0.9331155667312901,1613.5132402077493,1288.9943752617503,1158.2252759738114,9.283105921847605e-05,0.24390705689854067,0.6141033599279059,1572.338975602409,15.0,3.7527148372056995,0.06278159525647876,1191.0013758829919,2610.251930901349,0.23440502323922607,1.7542800232392262,37.58308434746051,281.2706535524094,1.2612031550125442,202.21368936170356,0.5077438927458344,0.06644199213175156,0.14177418644602488,0.14230331107564842,0.03813272179623814,0.01787855407364978,0.01565793222942782,0.03478324362077327
8.0,10.0,3299.4487552653613,1.2514449109936343,25.777318187637295,322.54955917566417,0.9396414356080784,1605.3337599019628,1282.7842007262984,1154.050433403879,9.287191921650642e-05,0.24097679059325883,0.6186920611653142,1567.0102863425516,15.0,3.751495078649235,0.06284259756018824,1191.402521326917,2601.5832820709675,0.2346098309093465,1.7544848309093466,37.488440834743024,280.3501478350832,1.2612244498128051,201.53178570086533,0.512149349909982,0.06864499794647848,0.14057340144194233,0.13554106860167417,0.03487884248976285,0.020671760402983085,0.016860401387513047,0.035729946314595994
8.25,10.0,3295.5395458490716,1.251183970449942,25.924461834399043,320.71881265133226,0.9461261303830338,1597.5471551480023,1276.8283424966703,1149.9688257847874,9.288498970489134e-05,0.23819078400996907,0.6229802369380929,1561.7467484225667,15.0,3.750489383736787,0.06289295977593079,1191.1883105474599,2592.990678497814,0.23477887996406,1.75465387996406,37.389440061811406,279.4353822804843,1.2612420469711714,200.85764923098603,0.5163169914464619,0.0706598279979214,0.13924114082928726,0.12914189074793692,0.032005205743115744,0.023568042557565956,0.018005264609186594,0.03648987549397433
8.5,10.0,3290.8206936123406,1.250970885649016,26.063111517352908,319.01266326614314,0.9525501672023021,1590.1268900863959,1271.1142268202527,1145.9869506615764,9.287473106024497e-05,0.23554214252966016,0.6269901669500229,1556.5658657651738,15.0,3.749668386081881,0.06293411693913019,1190.4600083363143,2584.50769181974,0.234917006701435,1.7547920067014349,37.28732991584102,278.5303176058109,1.2612564389201368,200.1936156383294,0.5202677035533607,0.07249828434494683,0.13781201146414587,0.12308609069113828,0.029455400517621914,0.02654714884267889,0.01909161771442196,0.037084293309475096
8.75,10.0,3285.442803250723,1.2507993682258303,26.19396463362723,317.4190213068899,0.9588996074669468,1583.0482912381924,1265.6292699313028,1142.108217174514,9.284482193923157e-05,0.23302338268268594,0.6307428680724215,1551.4794814454945,15.0,3.749007710960017,0.06296726580806614,1189.3005898932745,2576.157739366033,0.2350282412502409,1.7549032412502408,37.18308432135035,277.63776322413275,1.261268037786726,199.54127874749543,0.524019686910841,0.0741719226932798,0.13631320360180074,0.11735436611939785,0.027182899221856932,0.02959115349991375,0.020119675053412226,0.03753278005606616
9.0,10.0,3279.5278224709464,1.2506641595068442,26.317639891328486,315.92736478215926,0.9651647128005153,1576.2885005891835,1260.3611358070243,1138.3338082884711,9.279830883196012e-05,0.23062684016747514,0.6342579509814207,1546.4952288117317,15.0,3.748486999790095,0.06299341019860202,1187.7783478232786,2567.9566363163476,0.23511596164675863,1.7549909616467585,37.077464057980485,276.7596629628288,1.261277190347067,198.9016796847859,0.5275888968303949,0.07569186165783126,0.13476612127826035,0.11192806550737196,0.025149133185538897,0.032684331076187255,0.02109043239324067,0.037853080172946585
9.25,10.0,3273.1749391131984,1.2505608338339491,26.43468840950755,314.52848958729714,0.9713389259583884,1569.8263937910338,1255.2979042037366,1134.6633176504793,9.273772580263722e-05,0.22834493380468163,0.6375535784370046,1541.617620390474,15.0,3.748089137864829,0.06301339721605109,1185.9497635277437,2559.914518267816,0.23518301677714604,1.7550580167771461,36.97106378633242,275.8973108524531,1.2612841900705414,198.27544897928186,0.5309894037454127,0.07706867448243247,0.13318764183141313,0.10678934751777804,0.023321960195989293,0.035812978256571266,0.02200541731813031,0.038061103199981544
9.5,10.0,3266.4652039443195,1.25048564307461,26.545603062378643,313.21430515687877,0.9774180947914064,1563.6424786533707,1250.4281734964918,1131.0952213044638,9.266519026889298e-05,0.2261703310310612,0.6406464859311665,1536.8488666702779,15.0,3.7477996451265243,0.06302794605712,1183.8617861856349,2552.0372921241456,0.23523182398316966,1.7551068239831695,36.864348385362646,275.05151436258103,1.261289286752755,197.662913521879,0.5342336868137961,0.0783123338431559,0.13159108736354377,0.10192126810327344,0.02167444851220324,0.038965216585329344,0.022866505904661133,0.0381710109227589
9.75,10.0,3259.465157001991,1.2504353932484438,26.650826342107095,311.97766671184854,0.9833998811474277,1557.7187844713178,1245.7411177594693,1127.6272260124974,9.258247962002663e-05,0.2240960460481587,0.6435520401196896,1532.189491176917,15.0,3.7476061936821434,0.06303767097075688,1181.5536417030444,2544.327730403624,0.23526444678765723,1.7551394467876573,36.757681064950766,274.22271784127264,1.2612926942349445,197.06417700285039,0.5373328735232703,0.07943219272715732,0.12998697607837673,0.09730781726088636,0.020183910767550023,0.04213079325956885,0.02367578921617626,0.03819534873529175
10.0,10.0,3252.229668860129,1.250407346117294,26.75075700089069,310.8122367481564,0.9892833136844453,1552.038748539741,1241.2265117915842,1124.2565236874034,9.249109241061901e-05,0.22211549134944183,0.6462843201252085,1527.6387897104448,15.0,3.7474982235784084,0.06304309964899378,1179.0582679709125,2536.7862923567204,0.23528265708987472,1.7551576570898748,36.65134510935272,273.4110954329762,1.2612945966149935,196.47918005039972,0.5402969364374889,0.08043698813183701,0.12838360661691542,0.09293392265428764,0.018831134214721254,0.04530089100497144,0.024435476678097458,0.03814519448891279
10.25,10.0,3244.804188514527,1.2503991408056188,26.84575562147581,309.71237075189333,0.9950684429357031,1546.587105047881,1236.8747342959878,1120.9799803117485,9.239229766068238e-05,0.22022250014216632,0.648856207133746,1523.1951777769038,15.0,3.7474666372015957,0.0630446879249342,1176.4034599579209,2529.4117477616373,0.23528798483238234,1.7551629848323822,36.54556080675155,272.6166218544765,1.2612951532298036,195.90774577995725,0.5431348544333705,0.08133485880676194,0.12678751240131605,0.0887854314282365,0.01759976605249353,0.0484679526433308,0.025147826775015387,0.03803031034695054
