time_s,port_radius_m,port_diameter_mm,oxidizer_flux_kg_m2_s,regression_rate_mm_s,fuel_mass_flow_kg_s,oxidizer_mass_flow_kg_s,total_mass_flow_kg_s,of_ratio,temperature_k,cstar_m_per_s,isp_ideal_1atm_s,thrust_n
0.0,0.015,30.0,353.677651315323,2.6621637354566787,0.04516254378340486,0.25,0.29516254378340484,5.535560645099522,3283.52506553769,1625.643530989123,230.9808613161968,668.5869825710635
0.05,0.015133108186772833,30.266216373545664,347.4832399597213,2.6331586991923546,0.04506688541911105,0.25,0.2950668854191111,5.547310351604308,3284.9947251357708,1625.5495845958178,230.9701592894827,668.3393346005254
0.1,0.01526476612173245,30.5295322434649,341.51503393433796,2.6050264217445016,0.044973290136911245,0.25,0.29497329013691126,5.558855027927248,3286.438739448625,1625.457277549512,230.95964401113397,668.0969196700275
0.15000000000000002,0.015395017442819675,30.79003488563935,335.76062558224254,2.5777244716866727,0.04488167466258014,0.25,0.29488167466258014,5.570202134378826,3287.8580416158925,1625.3665502002677,230.94930868604962,667.8595283743082
0.2,0.015523903666404009,31.047807332808016,330.20850720363217,2.551213238770396,0.04479196059331028,0.25,0.29479196059331025,5.581358723496861,3289.2535137727914,1625.2773461585496,230.9391468905417,667.6269634940365
0.25,0.015651464328342527,31.302928656685054,324.8479904314738,2.5254556977221805,0.04470407402753029,0.25,0.2947040740275303,5.592331469522029,3290.6259907369285,1625.1896120595488,230.92915254548802,667.3990390731719
0.30000000000000004,0.015777737113228635,31.55547422645727,319.669134156777,2.5004171957449413,0.04461794522910057,0.25,0.29461794522910056,5.603126695241578,3291.9762633659275,1625.103297348551,230.91931989188188,667.1755795817692
0.35000000000000003,0.015902757973015883,31.805515946031765,314.6626799610568,2.47606526096441,0.044533508322134076,0.25,0.2945335083221341,5.613750396479427,3293.3050816206633,1625.018354085122,230.9096434685258,666.9564191549257
0.4,0.016026561236064104,32.05312247212821,309.81999415664495,2.4523694294251364,0.04445070101315813,0.25,0.2944507010131581,5.624208264476998,3294.6131573646685,1624.9347367641587,230.9001180916462,666.7414008997209
0.45,0.01614917970753536,32.29835941507072,305.13301565683366,2.4293010885511857,0.04436946433773684,0.25,0.29436946433773686,5.634505706379952,3295.9011669266256,1624.8524021520848,230.8907388362335,666.5303762630035
0.5,0.01627064476196292,32.54128952392584,300.594209001031,2.406833335252337,0.0442897424290202,0.25,0.2942897424290202,5.6446478640207935,3297.1697534497052,1624.7713091366718,230.88150101893427,666.3232044537318
