of_ratio,pressure_bar,temperature_k,gamma,molecular_weight_kg_per_kmol,gas_constant_j_kg_k,density_kg_m3,cp_mass_j_kg_k,cv_mass_j_kg_k,sound_speed_m_per_s,viscosity_pa_s,thermal_conductivity_w_m_k,prandtl_number,cstar_m_per_s,nozzle_area_ratio,exit_mach,exit_pressure_bar,exit_temperature_k,exit_velocity_m_per_s,cf_sea_level,cf_vacuum,isp_sea_level_s,isp_vacuum_s,cf_ideal_1atm,isp_ideal_1atm_s,x_N2,x_CO2,x_H2O,x_CO,x_H2,x_O2,x_NO,x_OH
5.5,10.0,3219.1696992577567,1.259509624482278,23.599371091222604,352.3171268426584,0.8817031109987798,1709.9435638024884,1357.6264369598298,1195.1971769317215,8.9797655889942e-05,0.2762312534808336,0.5558709298772776,1613.9892213143592,15.0,3.7827480234751993,0.06130664722887612,1126.8898594247612,2674.9506334869543,0.22943843898394856,1.7493134389839484,37.76123013213332,287.9039259298993,1.2606950954076808,207.48658260995086,0.45181560018546807,0.036939196324044854,0.13352462504699492,0.22188985849556983,0.10258606685364842,0.0013634937162460058,0.003745445000524851,0.015240017093355252
5.5,20.0,3279.077120955996,1.2574941442502832,23.71378036707047,350.61734103343997,1.7395822705639865,1712.2690479267878,1361.6517068933479,1202.3903916313343,9.083214024976781e-05,0.27669611669582694,0.562093404720949,1625.9278610146732,15.0,3.77490642877357,0.123373590376018,1156.7897752408503,2695.8957445994615,0.990658717259303,1.750596217259303,164.24972943349243,290.2462271039343,1.3933374005414738,231.0132511442892,0.4541685528997851,0.03742204956968037,0.13753246878009223,0.22265808664369593,0.10327875258156106,0.0010066517926026741,0.003432556112163684,0.013459773993714692
5.5,30.0,3311.8590597854236,1.2563989240116884,23.776560906545818,349.6915576156442,2.5903846662173695,1713.548909839567,1363.8573522239228,1206.2637447805453,9.139390387078055e-05,0.27691526247287784,0.5655445747021508,1632.3814750506592,15.0,3.770653972893454,0.18568319722205676,1173.2871181745472,2707.2301783043144,1.2446709609531994,1.7512959609531995,207.1836783400555,291.5147460132712,1.458091956340255,242.70900852484866,0.4554796336711089,0.0377071431796794,0.139786313873986,0.2230582743671808,0.10363740050151266,0.0008267468523168113,0.0032194042516345183,0.012376518818420822
5.5,40.0,3333.9721782633014,1.2556629167875692,23.818985481771538,349.0687134645691,3.437059849867671,1714.4161711665047,1365.3474577019356,1208.8515804271112,9.177111596600917e-05,0.27704883227548927,0.5678922519394506,1636.7034953043158,15.0,3.7677996835498844,0.2481372870560636,1184.4708260301359,2714.8259164126193,1.3717985136053876,1.7517672636053876,228.94948041086437,292.3652422899374,1.4994766845489857,250.2586235593859,0.4563740015703865,0.03790762991324927,0.14133147365651144,0.22332006552495284,0.1038715518263602,0.0007124465834729542,0.003057492868186398,0.011600144626768383
5.5,60.0,3363.39509248426,1.2546866735528202,23.875544125764854,348.24180652623704,5.122623731625785,1715.576035947606,1367.334229421369,1212.2635280268642,9.227085757899598e-05,0.27720839184439083,0.5710421355776251,1642.4152504206875,15.0,3.7640179973799155,0.37332255005275006,1199.42242242224,2724.870512594665,1.499081222744963,1.752393722744963,251.06574231318737,293.4904554539837,1.5523258736418954,259.98314291751683,0.4575770482389742,0.03818452279845766,0.14341900012203304,0.2236579178912633,0.10417351496131919,0.0005701161696174786,0.0028180657890558534,0.010508033859932594
5.5,80.0,3382.9663594850545,1.254038910575805,23.913250836633694,347.6926945213142,6.801375335667637,1716.3519039834919,1368.6592094621778,1214.5128899697304,9.260189740549765e-05,0.277302709636677,0.57315503022906,1646.189736502751,15.0,3.7615114250735058,0.4987538455182446,1209.4141760486984,2731.512558436614,1.562825853062861,1.752810228062861,262.3431935730589,294.2348516031599,1.586413397967759,266.30270822196974,0.45838584430123236,0.03837513730795598,0.1448279043845005,0.223875692277602,0.10436815032145728,0.00048215384622308014,0.002642879026880586,0.00974306152533799
